ActivateAudioSlowmoMode	Below is a list of modes and their respective hashes.\n\n| Mode (string)               | Hash               |\n|-----------------------------|--------------------|\n| SLOWMO_BIG_SCORE_JUMP       | 0x2B981B0C         |\n| JSH_EXIT_TUNNEL_SLOWMO      | 0x2562AA6          |\n| SLOW_MO_METH_HOUSE_RAYFIRE  | 0xDB9E1909         |\n| SLOWMO_FIB4\\_TRUCK_SMASH     | 0x9E144347         |\n| SLOWMO_PROLOGUE_VAULT       | 0xEA2E68E1         |\n| SLOWMO_T1\\_RAYFIRE_EXPLOSION | 0xD6D358F3         |\n| SLOWMO_T1\\_TRAILER_SMASH     | 0xBE607345         |\n| BARRY\\_01\\_SLOWMO             | 0xD59540D4         |\n| BARRY\\_02\\_SLOWMO             | 0x12F140B3         |\n| SLOWMO_EXTREME\\_04           | 0xF562EA50         |\n| NIGEL\\_02\\_SLOWMO_SETTING     | 0x384689B0         |\n\n**Parameters**\n- `mode`: A string indicating the audio slow motion mode to use, *see the table*.
SetUnkGlobalBoolRelatedToDamage	```\nNativeDB Introduced: v1365\n```
SetUseHiDof	Needs to be called every tick to make the active camera use a high depth of field.\\\nThe DoF can be customized using [`SET_CAM_NEAR_DOF`](#\\_0x3FA4BF0A7AB7DE2C), [`SET_CAM_FAR_DOF`](#\\_0xEDD91296CD01AEE0), [`SET_CAM_USE_SHALLOW_DOF_MODE`](#\\_0x16A96863A17552BB), [`SET_CAM_DOF_STRENGTH`](#\\_0x5EE29B4D7D5DF897) and other DoF related natives.\n\n### Usage Example\n\nA usage example for this native can be found in the following native documentation: [`SET_CAM_DOF_STRENGTH`](#\\_0x5EE29B4D7D5DF897).
SetUseHiDofInCutscene	```\nOnly used in R* Script fm_mission_controller_2020\n```\n\n```\nNativeDB Introduced: v2699\n```
SetUseHigherVehicleJumpForce	Allows vehicles with the FLAG_JUMPING_CAR flag to jump higher (i.e. Ruiner 2000).
SetUseIslandMap	Switches the display of the in-game minimap to the Cayo Perico map. This native needs to be called every frame to maintain the toggled state effectively.\n\n```\nNativeDB Introduced: v2189\n```\n\n**Parameters**\n- `toggle`: A boolean value where `true` switches the minimap to the Cayo Perico map, and `false` reverts it to the standard map.\n\n**Returns** This native does not return any value.
SetUseWaypointAsDestination	Sets a global mode which makes the pause menu map show 'Destination' instead of 'Waypoint' in the key legend on the\nbottom of the screen.\n\n<!--\n\nName guess:\n\n  - alphabetical function order, below [SET_USER_RADIO_CONTROL_ENABLED, SET_USE_HI_DOF], above SET_VARIABLE_ON_SOUND.\n\n-->\n\n**Parameters**\n- `toggle`: `true` to show 'Destination', `false` to show 'Waypoint' (the default)
SetVariableOnCutsceneAudio	```\nSET_VARIABLE_ON_*\n```
SetVariableOnStream	```\nFrom the scripts, p0:  \n"ArmWrestlingIntensity",  \n"INOUT",  \n"Monkey_Stream",  \n"ZoomLevel"  \n```
SetVariableOnUnderWaterStream	```\nAUDIO::SET_VARIABLE_ON_UNDER_WATER_STREAM("inTunnel", 1.0);\nAUDIO::SET_VARIABLE_ON_UNDER_WATER_STREAM("inTunnel", 0.0);\n```
SetVehHasRadioOverride	```\nNativeDB Introduced: v2372\n```
SetVehRadioStation	Find the radio station list [here](https://gist.github.com/4mmonium/b47d6512a2d992cbf4eea15d9038b581)
SetVehicleActAsIfHighSpeedForFragSmashing	This native is used to simulate a high-speed impact for a vehicle when it collides with a breakable object (frag). It's particularly useful in scripted sequences where a vehicle is required to break through a barrier but might not actually be moving at a sufficient speed to do so realistically. Note that this setting is temporary and will reset after one frame, so it needs to be called every frame for a lasting effect.\n\n**Parameters**\n- `vehicle`: The vehicle to be affected by this setting.\n- `actHighSpeed`: A boolean flag. Set to `true` to make the vehicle act as if it's at high speed for the current frame
SetVehicleAllowNoPassengersLockon	```\nMakes the vehicle accept no passengers.  \n```
SetVehicleAsNoLongerNeeded	```\nThis is an alias of SET_ENTITY_AS_NO_LONGER_NEEDED.  \n```
SetVehicleAudioBodyDamageFactor	Vehicle will make a 'rattling' noise when decelerating\n\n**Parameters**\n- `vehicle`: Vehicle to modify\n- `intensity`: A value 0.0 - 1.0. Higher the value, the more likely the vehicle is to make the sound while decelerating
SetVehicleAutoRepairDisabled	Disables the vehicle from being repaired when a vehicle extra is enabled.\n\n**Parameters**\n- `vehicle`: The vehicle to set disable auto vehicle repair.\n- `value`: Setting the value to  true prevents the vehicle from being repaired when a extra is enabled. Setting the value to false allows the vehicle from being repaired when a extra is enabled.
SetVehicleBodyHealth	```\np2 often set to 1000.0 in the decompiled scripts.  \n```
SetVehicleBombCount	Sets the amount of bombs that this vehicle has. As far as I know, this does *not* impact vehicle weapons or the ammo of those weapons in any way, it is just a way to keep track of the amount of bombs in a specific plane.\n\nIn decompiled scripts this is used to deduct from or add to the count whenever bombs are dropped or purchased/restocked.\n\nUse [`_GET_AIRCRAFT_BOMB_COUNT`](#\\_0xEA12BD130D7569A1) to get the amount of bombs on that vehicle.\n\n**Parameters**\n- `aircraft`: The vehicle to set the bombCount on.\n- `bombCount`: The amount of bombs to set for this vehicle.\n\n```lua\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\nSetAircraftBombCount(vehicle, 10)\n```
SetVehicleBoostActive	```\nSET_VEHICLE_BOOST_ACTIVE(vehicle, 1, 0);  \nSET_VEHICLE_BOOST_ACTIVE(vehicle, 0, 0);   \nWill give a boost-soundeffect.  \n```
SetVehicleBulldozerArmPosition	Sets the arm position of a bulldozer. Position must be a value between 0.0 and 1.0. Ignored when `p2` is set to false, instead incrementing arm position by 0.1 (or 10%).
SetVehicleBurnout	```\nOn accelerating, spins the driven wheels with the others braked, so you don't go anywhere.  \n```
SetVehicleCanBeLockedOn	```\nSET_VEHICLE_AL*\n```
SetVehicleCanBeTargetted	```\nThis has not yet been tested - it's just an assumption of what the types could be.  \n```
SetVehicleCeilingHeight	```\nPreviously named GET_VEHICLE_DEFORMATION_GET_TREE (hash collision)\nfrom Decrypted Scripts I found\nVEHICLE::SET_VEHICLE_CEILING_HEIGHT(l_BD9[2/*2*/], 420.0);\n```
SetVehicleCheatPowerIncrease	```\n<1.0 - Decreased torque\n=1.0 - Default torque\n>1.0 - Increased torque\nNegative values will cause the vehicle to go backwards instead of forwards while accelerating.\nvalue - is between 0.2 and 1.8 in the decompiled scripts.\nThis needs to be called every frame to take effect.\n```
SetVehicleColourCombination	Sets the selected vehicle's colors to their default value (specific variant specified using the colorCombination parameter).\n\nRange of possible values for colorCombination is currently unknown, I couldn't find where these values are stored either (Disquse's guess was vehicles.meta but I haven't seen it in there.)\n\n**Parameters**\n- `vehicle`: The vehicle to modify.\n- `colorCombination`: One of the default color values of the vehicle.\n\n```lua\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\nlocal index = math.random(0, 16)\nSetVehicleColourCombination(vehicle, index)\n```
SetVehicleColours	colorPrimary & colorSecondary are the paint indexes for the vehicle.\n\nFor a list of valid paint indexes, view: pastebin.com/pwHci0xK
SetVehicleControlsInverted	```\nInverts vehicle's controls. So INPUT_VEH_ACCELERATE will be INPUT_VEH_BRAKE and vise versa (same for A/D controls)\nDoesn't work for planes/helis.\n```
SetVehicleCountermeasureCount	Similar to [`_SET_AIRCRAFT_BOMB_COUNT`](#\\_0xF4B2ED59DEB5D774), this sets the amount of countermeasures that are present on this vehicle.\n\nUse [`_GET_AIRCRAFT_COUNTERMEASURE_COUNT`](#\\_0xF846AA63DF56B804) to get the current amount.\n\n**Parameters**\n- `aircraft`: The vehicle to set the amount of countermeasures on.\n- `count`: The amount of countermeasures to set on this vehicle.\n\n```lua\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\nSetAircraftCountermeasureCount(vehicle, 10)\n```
SetVehicleCurrentGear	\n\n**Parameters**\n- `vehicle`: The vehicle handle.\n- `gear`: The gear you want the vehicle to use.
SetVehicleCustomPrimaryColour	```\np1, p2, p3 are RGB values for color (255,0,0 for Red, ect)  \n```
SetVehicleCustomSecondaryColour	```\np1, p2, p3 are RGB values for color (255,0,0 for Red, ect)  \n```
SetVehicleDamage	Apply damage to vehicle at a location. Location is relative to vehicle model (not world).\nRadius of effect damage applied in a sphere at impact location\nWhen `focusOnModel` set to `true`, the damage sphere will travel towards the vehicle from the given point, thus guaranteeing an impact\n\n**Parameters**\n- `radius`: the size of the damage sphere to apply\n- `focusOnModel`: when set to `true`, the damage sphere will travel towards the vehicle from the given point, thus guaranteeing an impact\n\n```lua\n-- Both of these are for an average sized car\n\n-- nothing will be hit\nSetVehicleDamage(vehicle, 0.0, 0.0, 0.33, 200.0, 100.0, false)\n\n-- will hit the first hitbox on your Z index line\nSetVehicleDamage(vehicle, 0.0, 0.0, 0.33, 200.0, 100.0, true)\n```
SetVehicleDamageModifier	```\nSET_VEHICLE_D*\n```
SetVehicleDeformationFixed	```\nThis fixes the deformation of a vehicle but the vehicle health doesn't improve  \n```
SetVehicleDensityMultiplierThisFrame	**Usage:**\n\n*   Use this native inside a looped function.\n*   Values:\n    *   `0.0` = no vehicles on streets\n    *   `1.0` = normal vehicles on streets\n\n`1.0` Seems to be the maximum.
SetVehicleDirtLevel	Sets the dirt level of the passed vehicle.\n\n**Parameters**\n- `vehicle`: The vehicle to set.\n- `dirtLevel`: A number between 0.0 and 15.0 representing the vehicles dirt level.\n\n```lua\nlocal Vehicle = GetVehiclePedIsUsing(PlayerPedId())\nSetVehicleDirtLevel(Vehicle, 0.0) -- set the vehicle dirt level to 0.0\n```
SetVehicleDoorBroken	See eDoorId declared in [`SET_VEHICLE_DOOR_SHUT`](#\\_0x93D9BD300D7789E5)
SetVehicleDoorCanBreak	See eDoorId declared in [`SET_VEHICLE_DOOR_SHUT`](#\\_0x93D9BD300D7789E5)
SetVehicleDoorControl	See eDoorId declared in [`SET_VEHICLE_DOOR_SHUT`](#\\_0x93D9BD300D7789E5)\n\n**Parameters**\n- `speed`: 5 is fast, 1 is slow 3 is medium
SetVehicleDoorLatched	See eDoorId declared in [`SET_VEHICLE_DOOR_SHUT`](#\\_0x93D9BD300D7789E5)
SetVehicleDoorOpen	Sets the specified door index open on the passed vehicle. See [`IS_VEHICLE_DOOR_FULLY_OPEN`](#\\_0x3E933CFF7B111C22).\n\n**Parameters**\n- `vehicle`: Vehicle.\n- `doorIndex`: Index of the door you want to open (0-7)\n- `loose`: Whether the door is "loose" (if true the doors have no "spring" and can be closed easily.)\n- `openInstantly`: Whether the doors open instantly (if true this native seems to ignore loose)\n\n```lua\nlocal Vehicle = GetVehiclePedIsUsing(PlayerPedId())\nfor i = 0, 5 do\n  SetVehicleDoorOpen(Vehicle, i, false, true) -- will open every door from 0-5\nend\n```
SetVehicleDoorShut	Sets the specified door index shut on the passed vehicle.\n\n```cpp\nenum eDoorId\n{\n VEH_EXT_DOOR_DSIDE_F = 0,\n VEH_EXT_DOOR_DSIDE_R = 1,\n VEH_EXT_DOOR_PSIDE_F = 2,\n VEH_EXT_DOOR_PSIDE_R = 3,\n VEH_EXT_BONNET = 4,\n VEH_EXT_BOOT = 5,\n // 0x872E72B8 = 0xFFFFFFFF,\n}\n```\n\n**Parameters**\n- `vehicle`: Vehicle.\n- `doorIndex`: Index of the door you want to close.\n- `closeInstantly`: Whether the doors close instantly.\n\n```lua\nlocal Vehicle = GetVehiclePedIsUsing(PlayerPedId())\nfor i = 0, 5 do\n  SetVehicleDoorShut(Vehicle, i, false) -- will close all doors from 0-5\nend\n```
SetVehicleDoorsLocked	Locks the doors of a specified vehicle to a defined lock state, affecting how players and NPCs can interact with the vehicle.\n\n```\nNativeDB Introduced: v323\n```\n\n```cpp\nenum eVehicleLockState {\n    // No specific lock state, vehicle behaves according to the game's default settings.\n    VEHICLELOCK_NONE = 0,\n    // Vehicle is fully unlocked, allowing free entry by players and NPCs.\n    VEHICLELOCK_UNLOCKED = 1,\n    // Vehicle is locked, preventing entry by players and NPCs.\n    VEHICLELOCK_LOCKED = 2,\n    // Vehicle locks out only players, allowing NPCs to enter.\n    VEHICLELOCK_LOCKOUT_PLAYER_ONLY = 3,\n    // Vehicle is locked once a player enters, preventing others from entering.\n    VEHICLELOCK_LOCKED_PLAYER_INSIDE = 4,\n    // Vehicle starts in a locked state, but may be unlocked through game events.\n    VEHICLELOCK_LOCKED_INITIALLY = 5,\n    // Forces the vehicle's doors to shut and lock.\n    VEHICLELOCK_FORCE_SHUT_DOORS = 6,\n    // Vehicle is locked but can still be damaged.\n    VEHICLELOCK_LOCKED_BUT_CAN_BE_DAMAGED = 7,\n    // Vehicle is locked, but its trunk/boot remains unlocked.\n    VEHICLELOCK_LOCKED_BUT_BOOT_UNLOCKED = 8,\n    // Vehicle is locked and does not allow passengers, except for the driver.\n    VEHICLELOCK_LOCKED_NO_PASSENGERS = 9,\n    // Vehicle is completely locked, preventing entry entirely, even if previously inside.\n    VEHICLELOCK_CANNOT_ENTER = 10 \n};\n\n```\n\n**Parameters**\n- `vehicle`: The vehicle whose doors are to be locked.\n- `doorLockStatus`: The lock state to apply to the vehicle's doors, see `eVehicleLockState`.\n\n```lua\n-- Command to lock the car of the player for everyone.\nRegisterCommand("lockcar", function()\n    local playerPed = PlayerPedId() -- Get the player ped\n    local vehicle = GetVehiclePedIsIn(playerPed, false) -- Get the vehicle the player is in\n    if (vehicle == 0) then return end -- If the player is not in a vehicle, return\n    SetVehicleDoorsLocked(vehicle, 2) -- Lock the doors of the vehicle\nend, false)\n\n-- Command to unlock the car of the player for everyone.\nRegisterCommand("unlockcar", function()\n    local playerPed = PlayerPedId() -- Get the player ped\n    local vehicle = GetVehiclePedIsIn(playerPed, false) -- Get the vehicle the player is in\n    if (vehicle == 0) then return end -- If the player is not in a vehicle, return\n    SetVehicleDoorsLocked(vehicle, 1) -- Unlock the doors of the vehicle\nend, false)\n```
SetVehicleDoorsLockedForUnk	```\nNativeDB Introduced: v1365\n```
SetVehicleDoorsShut	```\nCloses all doors of a vehicle:  \n```
SetVehicleDropsMoneyWhenBlownUp	```\nMoney pickups are created around cars when they explode. Only works when the vehicle model is a car. A single pickup is between 1 and 18 dollars in size. All car models seem to give the same amount of money.\nyoutu.be/3arlUxzHl5Y\ni.imgur.com/WrNpYFs.jpg\n```
SetVehicleEngineHealth	```\n1000 is max health\nBegins leaking gas at around 650 health\n-999.90002441406 appears to be minimum health, although nothing special occurs <- false statement\n-------------------------\nMinimum: -4000\nMaximum: 1000\n-4000: Engine is destroyed\n0 and below: Engine catches fire and health rapidly declines\n300: Engine is smoking and losing functionality\n1000: Engine is perfect\n```
SetVehicleEngineOn	Starts or stops the engine on the specified vehicle.\nFrom what I've tested when I do this to a helicopter the propellers turn off after the engine has started.\n\n**Parameters**\n- `vehicle`: The vehicle to start or stop the engine on.\n- `value`: true to turn the vehicle on; false to turn it off.\n- `instantly`: if true, the vehicle will be set to the state immediately; otherwise, the current driver will physically turn on or off the engine.\n- `disableAutoStart`: If true, the system will prevent the engine from starting when the player got into it.
SetVehicleEnveffScale	Examples with a besra:\n\n*   [fade value `0.0`](https://i.imgur.com/DXNk63e.jpg)\n*   [fade value `0.5`](https://i.imgur.com/2Vb35fq.jpg)\n*   [fade value `1.0`](https://i.imgur.com/aa8cxaD.jpg)\n\nThe parameter fade is a value from 0-1, where 0 is fresh paint.\n\n**Parameters**\n- `vehicle`: Target vehicle\n- `fade`: The paint fade effect strength
SetVehicleExclusiveDriver	Incorrectly named `SET_VEHICLE_EXCLUSIVE_DRIVER`; likely `SET_VEHICLE_ALLOW_*`.\n\nToggles a flag related to `SET_VEHICLE_EXCLUSIVE_DRIVER`, however, doesn't enable that feature (or trigger script events related to it).\n\nSee [`_SET_VEHICLE_EXCLUSIVE_DRIVER_2`](#\\_0xB5C51B5502E85E83).\n\n```\nNativeDB Removed Parameter 2: int index\n```
SetVehicleExclusiveDriver_2	The **actual** [`SET_VEHICLE_EXCLUSIVE_DRIVER`](#\\_0x41062318F23ED854) native.
SetVehicleExplodesOnHighExplosionDamage	```\nSets a vehicle to be strongly resistant to explosions. p0 is the vehicle; set p1 to false to toggle the effect on/off.  \n```
SetVehicleExtendedRemovalRange	```\nMax value is 32767\n```
SetVehicleExtra	```\nNote: only some vehicle have extras  \nextra ids are from 1 - 9 depending on the vehicle  \n-------------------------------------------------  \n^ not sure if outdated or simply wrong. Max extra ID for b944 is 14  \n-------------------------------------------------  \np2 is not a on/off toggle. mostly 0 means on and 1 means off.  \nnot sure if it really should be a BOOL.  \n-------------------------------------------------  \nConfirmed p2 does not work as a bool. Changed to int. [0=on, 1=off]  \n```
SetVehicleExtraColours	```\nThey use the same color indexs as SET_VEHICLE_COLOURS.  \n```
